character,pinyin_marked,meaning,word_1,word_2,example_sentence,sequence
活,huó,有生命；生存,生活,活水,以撒的仆人挖井，得了一口活水井。,69
名,míng,名字；名称,名字,有名,他起名叫以挪士。,70
公,gōng,公平；公共；雄性的,公平,公义,大卫向众民秉公行义。,71
立,lì,站立；建立,站立,立约,雅各在那里立了一根石柱。,72
先,xiān,时间或次序在前,先前,先生,耶和华按着先前的话眷顾撒拉。,73
知,zhī,知道；知识,知道,知识,神知道你们吃的日子眼睛就明亮了。,74
坛,tán,用来祭祀或举行仪式的台,祭坛,花坛,挪亚为耶和华筑了一座坛。,75
神,shén,上帝；超自然的神明,神明,真神,摩西挨近神所在的幽暗之中。,76
永,yǒng,长久；永远,永远,永恒,你们要世世代代永远遵守。,77
法,fǎ,规则；方法；法律,法律,办法,要将律例和法度教训他们。,78
病,bìng,身体不健康,生病,病人,有人告诉约瑟：“你的父亲病了。”,79
床,chuáng,供人睡觉休息的家具,床上,木床,米甲把神像放在床上。,80
面,miàn,脸；表面；食物面粉,脸面,上面,你必汗流满面才得糊口。,81
驴,lǘ,一种能驮物的家畜,毛驴,驴驹,他们把驴驹牵到耶稣那里。,82
荣,róng,荣耀；光荣,荣耀,光荣,人子有能力，有大荣耀。,83
枝,zhī,树枝；枝条,树枝,枝叶,众人拿着棕树枝出去迎接他。,84
呼,hū,呼喊；呼吸,呼求,呼喊,我的神啊，我白日呼求。,85
固,gù,坚固；牢固,坚固,固定,神是我坚固的保障。,86
寿,shòu,寿命；长寿,长寿,寿命,年老的有智慧，寿高的有知识。,87
岁,suì,年龄；年岁,岁数,年岁,亚当共活了九百三十岁。,88
孤,gū,单独；没有父母的孩子,孤单,孤儿,他为孤儿寡妇伸冤。,89
罪,zuì,过错；罪恶,罪过,犯罪,我要承认我的罪孽。,90
罗,luó,网；罗列；姓氏用字,网罗,罗列,他必救你脱离捕鸟人的网罗。,91
夜,yè,从天黑到天亮的时间,黑夜,夜间,黑夜用火柱照亮他们当行的路。,92
救,jiù,帮助人脱离危险,救人,拯救,有一个埃及人救我们脱离牧羊人的手。,93
举,jǔ,向上托；抬起,举手,举起,愿我举手祈求，如献晚祭。,94
号,hào,呼喊；号码；号令,哭号,号码,王蒙着脸，大声哭号。,95
应,yìng,回答；接受；应允,回应,应允,神顾念拉结，应允了她。,96
